client_id,external_transaction_id,amount,currency,direction,transaction_date,description
NP-C-GBP-001,NP-TXN-GBP-0001,2500.00,GBP,CREDIT,2026-02-17,Incoming Faster Payment
NP-C-GBP-001,NP-TXN-GBP-0002,800.00,GBP,DEBIT,2026-02-19,Outbound payment
NP-C-GBP-002,NP-TXN-GBP-0003,2000.00,GBP,CREDIT,2026-02-18,Bank transfer in
NP-C-GBP-003,NP-TXN-GBP-0004,1500.00,GBP,CREDIT,2026-02-19,Top-up
NP-C-GBP-004,NP-TXN-GBP-0005,1200.00,GBP,CREDIT,2026-02-20,Deposit
NP-C-GBP-005,NP-TXN-GBP-0006,1000.00,GBP,DEBIT,2026-02-20,Withdrawal
NP-C-GBP-006,NP-TXN-GBP-0007,800.00,GBP,CREDIT,2026-02-21,Incoming transfer
NP-C-GBP-007,NP-TXN-GBP-0008,600.00,GBP,CREDIT,2026-02-24,Faster Payment
NP-C-GBP-008,NP-TXN-GBP-0009,500.00,GBP,CREDIT,2026-02-24,BACS credit
NP-C-GBP-009,NP-TXN-GBP-0010,400.00,GBP,DEBIT,2026-02-24,Payment out
