client_id,currency,balance,balance_date
PR-C-GBP-001,GBP,11000000.00,2026-02-24
PR-C-GBP-002,GBP,6000000.00,2026-02-24
PR-C-GBP-003,GBP,5000000.00,2026-02-24
PR-C-GBP-004,GBP,4000000.00,2026-02-24
PR-C-GBP-005,GBP,3500000.00,2026-02-24
PR-C-GBP-006,GBP,3000000.00,2026-02-24
PR-C-GBP-007,GBP,2500000.00,2026-02-24
PR-C-GBP-008,GBP,2000000.00,2026-02-24
PR-C-GBP-009,GBP,2000000.00,2026-02-24
PR-C-GBP-010,GBP,1500000.00,2026-02-24
PR-C-GBP-011,GBP,1500000.00,2026-02-24
PR-C-GBP-012,GBP,1500000.00,2026-02-24
PR-C-GBP-013,GBP,1000000.00,2026-02-24
PR-C-GBP-014,GBP,1000000.00,2026-02-24
PR-C-GBP-015,GBP,1000000.00,2026-02-24
PR-C-GBP-016,GBP,1000000.00,2026-02-24
PR-C-GBP-017,GBP,750000.00,2026-02-24
PR-C-GBP-018,GBP,750000.00,2026-02-24
PR-C-GBP-019,GBP,500000.00,2026-02-24
PR-C-GBP-020,GBP,500000.00,2026-02-24
PR-C-GBP-021,GBP,500000.00,2026-02-24
PR-C-GBP-022,GBP,500000.00,2026-02-24
PR-C-GBP-023,GBP,500000.00,2026-02-24
PR-C-GBP-024,GBP,500000.00,2026-02-24
PR-C-GBP-025,GBP,500000.00,2026-02-24
PR-C-GBP-026,GBP,500000.00,2026-02-24
PR-C-GBP-027,GBP,500000.00,2026-02-24
PR-C-GBP-028,GBP,500000.00,2026-02-24
PR-C-GBP-029,GBP,250000.00,2026-02-24
PR-C-GBP-030,GBP,250000.00,2026-02-24
PR-C-EUR-001,EUR,5000000.00,2026-02-24
PR-C-EUR-002,EUR,4000000.00,2026-02-24
PR-C-EUR-003,EUR,3500000.00,2026-02-24
PR-C-EUR-004,EUR,3000000.00,2026-02-24
PR-C-EUR-005,EUR,2500000.00,2026-02-24
PR-C-EUR-006,EUR,2000000.00,2026-02-24
PR-C-EUR-007,EUR,2000000.00,2026-02-24
PR-C-EUR-008,EUR,2000000.00,2026-02-24
PR-C-EUR-009,EUR,1500000.00,2026-02-24
PR-C-EUR-010,EUR,1500000.00,2026-02-24
PR-C-EUR-011,EUR,1500000.00,2026-02-24
PR-C-EUR-012,EUR,1500000.00,2026-02-24
PR-C-EUR-013,EUR,1000000.00,2026-02-24
PR-C-EUR-014,EUR,2000000.00,2026-02-24
PR-C-EUR-015,EUR,2000000.00,2026-02-24
